name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/1/8",1132118,613.174,613.688,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/2/8",1054296,658.722,659.929,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/4/8",986569,720.29,721.511,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/8/8",928727,753.869,753.988,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/16/8",762652,917.758,917.918,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/32/8",531370,1308.73,1309.05,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/64/8",332594,2104.53,2102.82,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/128/8",186990,3752.16,3739.59,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/256/8",103451,6917.64,6898.68,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/512/8",54169,12949.9,12919,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/1024/8",26139,26847.1,26810.4,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/2048/8",12990,53831.3,53771.4,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/4096/8",5671,116083,115970,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/8192/8",2384,292471,292128,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/16384/8",1136,604056,603173,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/32768/8",553,1.26872e+06,1.26651e+06,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/65536/8",293,2.39082e+06,2.38832e+06,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/131072/8",118,5.88157e+06,5.85805e+06,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/262144/8",51,1.39087e+07,1.37126e+07,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/524288/8",19,3.81296e+07,3.70738e+07,ns,,,,,
"BM_suffix_tree_build<algo::string::SuffixTree<int>>/1048576/8",6,1.12578e+08,1.10667e+08,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/1/8",1088376,639.956,641.018,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/2/8",1021018,685.75,687.534,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/4/8",965238,734.97,736.032,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/8/8",913230,773.175,774.147,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/16/8",746316,940.707,941.667,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/32/8",527880,1299.56,1299.11,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/64/8",323749,2244.88,2238,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/128/8",180055,3926.42,3914.93,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/256/8",103745,6821.04,6798.84,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/512/8",52220,13616.1,13581.5,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/1024/8",24678,28301.8,28225.6,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/2048/8",13179,53116.7,53007.8,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/4096/8",6515,107265,107054,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/8192/8",2392,295611,295025,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/16384/8",1113,623793,622498,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/32768/8",531,1.34221e+06,1.33917e+06,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/65536/8",278,2.53013e+06,2.52102e+06,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/131072/8",111,6.29476e+06,6.25559e+06,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/262144/8",51,1.43503e+07,1.39133e+07,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/524288/8",19,3.93652e+07,3.8162e+07,ns,,,,,
"BM_suffix_tree_build<ReferenceSuffixTree>/1048576/8",6,1.11786e+08,1.08373e+08,ns,,,,,
